2020-05-12 21:13:52,512;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,526;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,540;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,555;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,569;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,584;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,598;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,612;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,625;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,641;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,655;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,672;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,688;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,702;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,717;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,731;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,745;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,760;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,777;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,794;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,808;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,822;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,837;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,853;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,868;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,883;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,899;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,912;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,925;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,938;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,952;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,968;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,980;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:52,994;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,006;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,022;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,036;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,049;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,061;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
2020-05-12 21:13:53,075;mon_cpu;10.55;0.01;6.70;0.11;0.00;82.63
